file,line,level,reason,location,category,section_type,justification
BerkovichMotives.tex,50,BISH,motivic sheaf/cohomology (algebraic),Preamble,BISH,motivation,Genuine algebraic marker; motivic sheaf/cohomology is BISH
BerkovichMotives.tex,60,WKL,"Scholze, Lectures on Analytic Geometry (Tychonoff gates)",Introduction,A,motivation,Introductory citation establishing background context for condensed mathematics
BerkovichMotives.tex,62,BISH,motivic sheaf/cohomology (algebraic),Introduction,BISH,motivation,Genuine algebraic marker; motivic sheaf/cohomology is BISH
BerkovichMotives.tex,62,BISH,six-functor formalism (categorical),Introduction,BISH,motivation,Genuine algebraic marker; six-functor formalism is categorical/BISH
BerkovichMotives.tex,62,WKL,"Scholze, Lectures on Analytic Geometry (Tychonoff gates)",Introduction,A,motivation,Introductory citation establishing background context for condensed mathematics
BerkovichMotives.tex,64,WKL,perfectoid (inverse limit / tilting),Introduction,A,motivation,WKL marker in introduction; motivational context only
BerkovichMotives.tex,69,BISH,motivic sheaf/cohomology (algebraic),Introduction,BISH,motivation,Genuine algebraic marker; motivic sheaf/cohomology is BISH
BerkovichMotives.tex,70,BISH,motivic sheaf/cohomology (algebraic),Introduction,BISH,motivation,Genuine algebraic marker; motivic sheaf/cohomology is BISH
BerkovichMotives.tex,74,WKL,adic space (inverse limit of affinoids),Introduction,A,motivation,WKL marker in introduction; motivational context only
BerkovichMotives.tex,76,WKL,Berkovich spectrum (profinite/inverse limit),Introduction,A,motivation,WKL marker in introduction; motivational context only
BerkovichMotives.tex,83,WKL,Berkovich spectrum (profinite/inverse limit),Introduction,A,motivation,WKL marker in introduction; motivational context only
BerkovichMotives.tex,83,WKL,arc-topology (profinite descent),Introduction,A,motivation,WKL marker in introduction; motivational context only
BerkovichMotives.tex,92,WKL,Berkovich spectrum (profinite/inverse limit),Introduction,A,motivation,WKL marker in introduction; motivational context only
BerkovichMotives.tex,96,WKL,arc-topology (profinite descent),Introduction,A,motivation,WKL marker in introduction; motivational context only
BerkovichMotives.tex,100,BISH,motivic sheaf/cohomology (algebraic),Introduction,BISH,motivation,Genuine algebraic marker; motivic sheaf/cohomology is BISH
BerkovichMotives.tex,145,BISH,Tate twist (algebraic),Introduction,BISH,motivation,Genuine algebraic marker; Tate twist is BISH
BerkovichMotives.tex,153,BISH,motivic sheaf/cohomology (algebraic),Introduction,BISH,motivation,Genuine algebraic marker; motivic sheaf/cohomology is BISH
BerkovichMotives.tex,159,BISH,Tate twist (algebraic),Introduction,BISH,motivation,Genuine algebraic marker; Tate twist is BISH
BerkovichMotives.tex,188,BISH,motivic sheaf/cohomology (algebraic),Introduction,BISH,motivation,Genuine algebraic marker; motivic sheaf/cohomology is BISH
BerkovichMotives.tex,194,WLPO,normed completion,Introduction,A,motivation,Describing classical analytic approach in introduction; not in proof
BerkovichMotives.tex,208,WLPO,normed completion,Introduction,A,motivation,Describing classical analytic approach in introduction; not in proof
BerkovichMotives.tex,220,BISH,Tate twist (algebraic),Introduction,BISH,motivation,Genuine algebraic marker; Tate twist is BISH
BerkovichMotives.tex,234,BISH,motivic sheaf/cohomology (algebraic),Introduction,BISH,motivation,Genuine algebraic marker; motivic sheaf/cohomology is BISH
BerkovichMotives.tex,234,BISH,Tate twist (algebraic),Introduction,BISH,motivation,Genuine algebraic marker; Tate twist is BISH
BerkovichMotives.tex,236,BISH,motivic sheaf/cohomology (algebraic),Introduction,BISH,motivation,Genuine algebraic marker; motivic sheaf/cohomology is BISH
BerkovichMotives.tex,258,BISH,Tate twist (algebraic),Introduction,BISH,motivation,Genuine algebraic marker; Tate twist is BISH
BerkovichMotives.tex,274,WKL,Berkovich spectrum (profinite/inverse limit),Banach rings and Berkovich spectrum,C,definition,Genuine profinite/inverse limit construction in Banach rings and Berkovich spectrum
BerkovichMotives.tex,294,WLPO,completed normed group,Banach rings and Berkovich spectrum,B,definition,Banach ring/field infrastructure; analytic wrapper not proof logic
BerkovichMotives.tex,294,WLPO,Cauchy completion,Banach rings and Berkovich spectrum,B,definition,Banach ring/field infrastructure; analytic wrapper not proof logic
BerkovichMotives.tex,297,WLPO,completed normed group,Banach rings and Berkovich spectrum,B,definition,Banach ring/field infrastructure; analytic wrapper not proof logic
BerkovichMotives.tex,299,WLPO,normed completion,Banach rings and Berkovich spectrum,B,definition,Banach ring/field infrastructure; analytic wrapper not proof logic
BerkovichMotives.tex,307,LPO,normed filtration (decidable norm comparison),Banach rings and Berkovich spectrum,B,definition,Seminorm filtration R>=0 indexing; analytic formalism parasitic on algebraic content
BerkovichMotives.tex,371,LPO,normed filtration (decidable norm comparison),Free seminormed rings,B,definition,Seminorm filtration R>=0 indexing; analytic formalism parasitic on algebraic content
BerkovichMotives.tex,391,WKL,Berkovich spectrum (profinite/inverse limit),Banach fields,C,definition,Genuine profinite/inverse limit construction in Banach fields
BerkovichMotives.tex,403,WLPO,normed completion,Banach fields,B,definition,Banach ring/field infrastructure; analytic wrapper not proof logic
BerkovichMotives.tex,403,WLPO,completion of (semi/pseudo-)normed group,Banach fields,B,definition,Banach ring/field infrastructure; analytic wrapper not proof logic
BerkovichMotives.tex,403,WLPO,completed normed group,Banach fields,B,definition,Banach ring/field infrastructure; analytic wrapper not proof logic
BerkovichMotives.tex,412,LPO,normed filtration (decidable norm comparison),Banach fields,B,definition,Seminorm filtration R>=0 indexing; analytic formalism parasitic on algebraic content
BerkovichMotives.tex,424,WKL,condensed mathematics (profinite structure),Banach fields,C,definition,Structural WKL: condensed mathematics profinite structure in Banach fields
